택배번호,출발지,출발시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10077,충남 아산시,1,3,45,3,천안 우편집중국,15,22,133,6,중부권 광역우편물류센터,34,41,133,6,천안 우편집중국,53,58,109,2,충남 당진시
001P10078,강원 화천군,1,6,108,1,원주 우편집중국,18,31,256,20,중부권 광역우편물류센터,43,50,133,56,천안 우편집중국,62,67,109,5,충남 당진시
001P10079,서울 구로구,1,5,73,1,안양 우편집중국,17,28,225,31,중부권 광역우편물류센터,40,45,93,19,전주 우편집중국,57,60,54,2,전북 전주시 덕진구
001P10080,충남 보령시,1,11,190,1,대전 우편집중국,23,26,53,54,중부권 광역우편물류센터,38,49,218,7,성남 우편집중국,61,63,39,1,경기 성남시 분당구
001P10081,경기 용인시 수지구,1,4,58,1,성남 우편집중국,16,27,218,5,중부권 광역우편물류센터,39,50,225,24,안양 우편집중국,62,65,51,1,경기 안산시 단원구
001P10082,전남 완도군,1,3,50,2,영암 우편집중국,15,29,290,7,중부권 광역우편물류센터,41,46,93,30,전주 우편집중국,58,67,176,4,전북 부안군
001P10083,전북 익산시,1,3,39,3,전주 우편집중국,15,20,93,6,중부권 광역우편물류센터,32,42,192,2,대구 우편집중국,54,58,76,1,경북 구미시
001P10084,인천 계양구,1,3,36,3,부천 우편집중국,15,28,253,7,중부권 광역우편물류센터,40,55,295,40,부산 우편집중국,67,69,35,3,부산 북구
001P10085,강원 삼척시,1,5,82,1,강릉 우편집중국,17,35,368,4,중부권 광역우편물류센터,47,58,225,95,안양 우편집중국,70,74,73,10,서울 구로구
001P10086,서울 관악구,1,3,49,2,안양 우편집중국,15,26,225,9,중부권 광역우편물류센터,38,41,53,15,대전 우편집중국,53,56,57,1,대전 중구
001P10087,경남 남해군,1,5,73,1,진주 우편집중국,17,27,202,9,중부권 광역우편물류센터,39,50,218,11,성남 우편집중국,62,65,64,1,경기 용인시 처인구
001P10088,경기 안양시 만안구,1,3,33,2,안양 우편집중국,15,26,225,9,중부권 광역우편물류센터,38,48,199,17,광주 우편집중국,60,68,150,2,광주 남구
001P10089,경기 수원시 팔달구,1,4,69,2,수원 우편집중국,16,27,229,3,중부권 광역우편물류센터,39,51,248,20,동서울 우편집중국,63,67,84,4,서울 용산구
001P10090,경기 시흥시,1,4,53,2,부천 우편집중국,16,29,253,14,중부권 광역우편물류센터,41,48,133,34,천안 우편집중국,60,62,45,7,충남 아산시
001P10091,전남 광양시,1,3,47,2,순천 집중과,15,27,233,2,중부권 광역우편물류센터,39,50,218,11,성남 우편집중국,62,66,72,2,경기 광주시
001P10092,경남 창원시 의창구,1,3,35,2,창원 우편집중국,15,28,251,3,중부권 광역우편물류센터,40,51,216,16,안동 우편집중국,63,67,90,3,경북 청송군
001P10093,경남 통영시,1,8,136,2,창원 우편집중국,20,33,251,35,중부권 광역우편물류센터,45,55,192,101,대구 우편집중국,67,70,54,10,경북 경산시
001P10094,전남 무안군,1,4,63,1,영암 우편집중국,16,30,290,9,중부권 광역우편물류센터,42,53,216,34,안동 우편집중국,65,69,90,5,경북 청송군
001P10095,경기 성남시 중원구,1,3,43,3,성남 우편집중국,15,26,218,4,중부권 광역우편물류센터,38,52,290,19,영암 우편집중국,64,66,50,2,전남 해남군
001P10096,경북 고령군,1,5,80,1,대구 우편집중국,17,27,192,23,중부권 광역우편물류센터,39,50,225,24,안양 우편집중국,62,64,33,3,경기 군포시
001P10097,경남 창원시 의창구,1,3,35,2,창원 우편집중국,15,28,251,3,중부권 광역우편물류센터,40,51,229,16,수원 우편집중국,63,66,69,5,경기 수원시 팔달구
001P10098,경기 광주시,1,5,72,2,성남 우편집중국,17,28,218,14,중부권 광역우편물류센터,40,53,253,28,부천 우편집중국,65,70,96,2,인천 강화군
001P10099,경기 하남시,1,4,51,2,동서울 우편집중국,16,28,248,7,중부권 광역우편물류센터,40,50,192,28,대구 우편집중국,62,65,54,4,경북 경산시
001P10100,전북 고창군,1,8,141,3,전주 우편집중국,20,25,93,47,중부권 광역우편물류센터,37,49,248,8,동서울 우편집중국,61,64,58,1,서울 송파구
001P10101,부산 연제구,1,4,60,1,부산 우편집중국,16,31,295,11,중부권 광역우편물류센터,43,53,192,69,대구 우편집중국,65,69,79,6,경북 청도군
001P10102,강원 춘천시,1,6,108,4,원주 우편집중국,18,31,256,20,중부권 광역우편물류센터,43,58,295,87,부산 우편집중국,70,72,35,5,부산 남구
001P10103,전남 영암군,1,3,50,2,영암 우편집중국,15,29,290,7,중부권 광역우편물류센터,41,46,93,30,전주 우편집중국,58,61,53,1,전북 전주시 완산구
001P10104,경남 창원시 성산구,1,5,75,1,창원 우편집중국,17,30,251,14,중부권 광역우편물류센터,42,45,53,19,대전 우편집중국,57,67,190,6,충남 보령시
001P10105,경기 남양주시,1,3,40,1,동서울 우편집중국,15,27,248,3,중부권 광역우편물류센터,39,49,202,14,진주 우편집중국,61,63,42,3,경남 사천시
001P10106,강원 춘천시,1,6,108,4,원주 우편집중국,18,31,256,20,중부권 광역우편물류센터,43,46,53,29,대전 우편집중국,58,64,116,5,충남 부여군
001P10107,전북 군산시,1,9,164,1,전주 우편집중국,21,26,93,61,중부권 광역우편물류센터,38,53,295,21,부산 우편집중국,65,69,70,1,부산 사상구
001P10108,서울 서초구,1,5,79,2,동서울 우편집중국,17,29,248,20,중부권 광역우편물류센터,41,54,268,24,고양 우편집중국,66,68,30,4,경기 고양시 덕양구
001P10109,대구 동구,1,3,50,2,대구 우편집중국,15,25,192,6,중부권 광역우편물류센터,37,51,290,14,영암 우편집중국,63,65,50,3,전남 완도군
001P10110,강원 춘천시,1,6,108,4,원주 우편집중국,18,31,256,20,중부권 광역우편물류센터,43,54,218,30,성남 우편집중국,66,69,58,5,경기 용인시 기흥구
001P10111,경기 동두천시,1,3,45,1,의정부 우편집중국,15,28,261,3,중부권 광역우편물류센터,40,51,229,16,수원 우편집중국,63,66,69,5,경기 수원시 팔달구
001P10112,경북 경주시,1,12,226,2,포항 우편집중국,24,38,271,41,중부권 광역우편물류센터,59,69,199,109,광주 우편집중국,81,87,128,21,전남 구례군
001P10113,전북 부안군,1,10,176,1,전주 우편집중국,22,27,93,80,중부권 광역우편물류센터,39,49,192,23,대구 우편집중국,61,64,55,1,경북 칠곡군
001P10114,충북 음성군,1,6,97,2,청주 우편집중국,18,23,100,30,중부권 광역우편물류센터,35,38,53,4,대전 우편집중국,50,52,46,1,대전 서구
001P10115,경남 함양군,1,6,101,1,진주 우편집중국,18,28,202,13,중부권 광역우편물류센터,40,47,133,21,천안 우편집중국,59,65,128,4,충남 서산시
