episode,dist,cost,score,entropy,"(0,0,0)","(1,0,0)","(0,1,0)","(0,0,1)","(1,1,0)","(1,0,1)","(0,1,1)","(1,1,1)",동서울 우편집중국,의정부 우편집중국,부천 우편집중국,중부권 광역우편물류센터,부산 우편집중국,대구 우편집중국,성남 우편집중국,안양 우편집중국,고양 우편집중국,대전 우편집중국,창원 우편집중국,광주 우편집중국,수원 우편집중국,원주 우편집중국,강릉 우편집중국,청주 우편집중국,천안 우편집중국,울산 우편집중국,안동 우편집중국,포항 우편집중국,진주 우편집중국,순천 집중과,영암 우편집중국,전주 우편집중국
31,203.66686345548396,203.26235918427844,23113294,0.15830375,286,120,146,164,199,256,255,170,3.6077586206896552,3.668103448275862,5.206896551724138,3.336206896551724,4.663793103448276,4.801724137931035,2.4525862068965516,4.362068965517241,4.008620689655173,2.5344827586206895,2.461206896551724,1.4870689655172413,1.456896551724138,2.288793103448276,0.9827586206896551,3.1810344827586206,1.3793103448275863,2.8491379310344827,2.3793103448275863,1.8491379310344827,1.8793103448275863,2.189655172413793,3.586206896551724,2.0301724137931036
32,182.77910915690188,181.91646627587042,18811510,0.1453771,331,120,113,163,208,273,237,136,3.6443514644351462,3.6652719665271967,5.2552301255230125,3.3430962343096233,4.656903765690377,4.832635983263598,2.489539748953975,4.389121338912134,4.0,2.5397489539748954,2.4560669456066946,1.4560669456066946,1.4644351464435146,2.2594142259414225,1.0460251046025104,3.1338912133891212,1.3765690376569037,2.811715481171548,2.422594142259414,1.8200836820083681,1.8786610878661087,2.188284518828452,3.6317991631799162,2.01673640167364
33,210.74067972464564,209.96557385035933,10520438,0.20640554,160,90,123,113,167,170,171,117,3.595918367346939,3.6040816326530614,5.216326530612245,3.3224489795918366,4.575510204081633,4.783673469387755,2.4448979591836735,4.318367346938776,3.926530612244898,2.5020408163265304,2.4204081632653063,1.4244897959183673,1.4285714285714286,2.2244897959183674,1.0489795918367346,3.0775510204081633,1.363265306122449,2.76734693877551,2.4,1.7836734693877552,1.836734693877551,2.179591836734694,3.6163265306122447,1.9877551020408164
34,210.35391706892457,209.7808350478752,19703911,0.17561197,361,93,127,121,235,268,238,122,3.652173913043478,3.6719367588932808,5.308300395256917,3.4150197628458496,4.632411067193676,4.865612648221344,2.41897233201581,4.3478260869565215,4.007905138339921,2.588932806324111,2.399209486166008,1.466403162055336,1.4703557312252964,2.2648221343873516,1.1146245059288538,3.0553359683794468,1.3754940711462451,2.83399209486166,2.4031620553359683,1.7509881422924902,1.8379446640316206,2.177865612648221,3.608695652173913,1.9565217391304348
35,211.76436114421702,211.3595171454198,9841728,0.19532213,177,83,115,131,143,210,151,132,3.6576923076923076,3.6961538461538463,5.276923076923077,3.4038461538461537,4.619230769230769,4.880769230769231,2.419230769230769,4.296153846153846,3.973076923076923,2.576923076923077,2.3807692307692307,1.4615384615384615,1.4538461538461538,2.2576923076923077,1.1076923076923078,3.046153846153846,1.3884615384615384,2.830769230769231,2.396153846153846,1.7807692307692307,1.8153846153846154,2.173076923076923,3.55,1.9576923076923076
36,196.05061338192098,194.94336315283672,12062935,0.180255,231,74,115,131,175,213,181,102,3.651685393258427,3.6928838951310863,5.1835205992509366,3.3707865168539324,4.685393258426966,4.932584269662922,2.4194756554307117,4.280898876404494,3.966292134831461,2.5655430711610485,2.3707865168539324,1.4606741573033708,1.4606741573033708,2.250936329588015,1.1123595505617978,3.0262172284644193,1.3595505617977528,2.805243445692884,2.3670411985018727,1.794007490636704,1.8202247191011236,2.1722846441947565,3.5655430711610485,1.9250936329588015
37,201.9067906626003,200.6511830841164,8067463,0.19840406,180,87,103,118,150,181,164,109,3.6043956043956045,3.67032967032967,5.117216117216117,3.32967032967033,4.655677655677656,4.912087912087912,2.3956043956043955,4.241758241758242,3.95970695970696,2.5604395604395602,2.358974358974359,1.4468864468864469,1.465201465201465,2.21978021978022,1.098901098901099,3.0366300366300365,1.3406593406593406,2.78021978021978,2.326007326007326,1.7765567765567765,1.8095238095238095,2.1758241758241756,3.5384615384615383,1.9194139194139195
38,212.51672234876887,210.48564857010163,13860768,0.18886906,242,93,106,99,204,252,196,132,3.6285714285714286,3.6678571428571427,5.082142857142857,3.3107142857142855,4.632142857142857,4.878571428571429,2.3892857142857142,4.207142857142857,3.982142857142857,2.55,2.3642857142857143,1.4464285714285714,1.4928571428571429,2.2642857142857142,1.1,3.007142857142857,1.3642857142857143,2.7964285714285713,2.2928571428571427,1.7607142857142857,1.832142857142857,2.1607142857142856,3.5642857142857145,1.9464285714285714
39,201.93043119260645,201.2390387273202,16328350,0.1815232,264,91,136,126,196,280,228,124,3.5972222222222223,3.732638888888889,5.142361111111111,3.392361111111111,4.6875,4.920138888888889,2.3472222222222223,4.201388888888889,3.9444444444444446,2.59375,2.3368055555555554,1.4548611111111112,1.5069444444444444,2.2743055555555554,1.1145833333333333,3.0104166666666665,1.3645833333333333,2.798611111111111,2.267361111111111,1.7638888888888888,1.8506944444444444,2.1354166666666665,3.5833333333333335,1.9444444444444444
40,206.03346862944454,203.49971876710828,11994872,0.19831108,216,89,118,136,162,217,186,114,3.6610169491525424,3.7457627118644066,5.145762711864407,3.369491525423729,4.698305084745763,4.922033898305084,2.31864406779661,4.196610169491525,3.935593220338983,2.6338983050847458,2.3220338983050848,1.4576271186440677,1.5220338983050847,2.247457627118644,1.1322033898305084,3.0033898305084747,1.3593220338983052,2.830508474576271,2.2576271186440677,1.823728813559322,1.8677966101694916,2.094915254237288,3.545762711864407,1.9491525423728813
41,214.27344540281942,213.5952284298414,14448804,0.18817402,227,85,137,117,184,257,221,132,3.633663366336634,3.7524752475247523,5.148514851485149,3.392739273927393,4.693069306930693,4.881188118811881,2.3333333333333335,4.214521452145214,3.99009900990099,2.633663366336634,2.3135313531353137,1.4686468646864685,1.5214521452145215,2.237623762376238,1.141914191419142,3.0,1.3762376237623761,2.8613861386138613,2.2508250825082508,1.8052805280528053,1.858085808580858,2.1056105610561056,3.547854785478548,2.0165016501650164
42,210.35455350232317,209.05535422998003,15358033,0.18792184,212,79,124,115,186,271,223,124,3.627009646302251,3.7363344051446945,5.157556270096463,3.4565916398713825,4.717041800643087,4.819935691318328,2.3665594855305465,4.237942122186495,3.9356913183279745,2.688102893890675,2.3408360128617365,1.4469453376205788,1.5305466237942122,2.237942122186495,1.1736334405144695,3.032154340836013,1.347266881028939,2.852090032154341,2.257234726688103,1.8038585209003215,1.8617363344051447,2.1061093247588425,3.559485530546624,2.032154340836013
43,203.5316814340589,201.16508408023896,9233335,0.21178553,152,106,124,99,137,193,177,102,3.588050314465409,3.69811320754717,5.1069182389937104,3.4182389937106916,4.748427672955975,4.811320754716981,2.3459119496855347,4.226415094339623,3.9150943396226414,2.6855345911949686,2.2955974842767297,1.421383647798742,1.5125786163522013,2.2138364779874213,1.1635220125786163,3.0220125786163523,1.3679245283018868,2.852201257861635,2.2358490566037736,1.7924528301886793,1.849056603773585,2.0786163522012577,3.556603773584906,2.0125786163522013
44,206.36198022423733,204.40136769415588,14869856,0.18824649,216,111,145,133,187,238,198,118,3.624615384615385,3.707692307692308,5.067692307692307,3.396923076923077,4.729230769230769,4.787692307692308,2.353846153846154,4.218461538461538,3.92,2.683076923076923,2.286153846153846,1.4307692307692308,1.52,2.2,1.1538461538461537,3.0184615384615383,1.3384615384615384,2.9046153846153846,2.227692307692308,1.7784615384615385,1.833846153846154,2.1076923076923078,3.556923076923077,2.003076923076923
45,203.96914933065568,203.46275552648285,9278849,0.20137522,137,82,116,104,143,169,144,127,3.602409638554217,3.6927710843373496,5.015060240963855,3.391566265060241,4.710843373493976,4.756024096385542,2.325301204819277,4.186746987951807,3.891566265060241,2.674698795180723,2.253012048192771,1.4156626506024097,1.5301204819277108,2.2078313253012047,1.141566265060241,2.9939759036144578,1.322289156626506,2.9156626506024095,2.2018072289156625,1.7771084337349397,1.8162650602409638,2.075301204819277,3.5512048192771086,2.0060240963855422
