,처리용량,상위 허브,연결도로,처리시간,번호
경남 창원시 마산회원구,0,창원 우편집중국,남해제1고속지선 서마산IC,0,252
경남 창원시 진해구,0,창원 우편집중국,남해제3고속지선 진해IC,0,253
경남 진주시,0,진주 우편집중국,남해고속 진주IC,0,254
경남 통영시,0,창원 우편집중국,통영대전고속 통영IC,0,255
경남 사천시,0,진주 우편집중국,남해고속 사천IC,0,256
경남 김해시,0,부산 우편집중국,남해고속 동김해IC,0,257
경남 밀양시,0,부산 우편집중국,중앙고속 밀양IC,0,258
경남 거제시,0,창원 우편집중국,통영대전고속 통영IC,0,259
경남 양산시,0,울산 우편집중국,중앙고속지선 남양산IC,0,260
경남 의령군,0,진주 우편집중국,남해고속 군복IC,0,261
경남 함안군,0,창원 우편집중국,남해고속 함안IC,0,262
경남 창녕군,0,창원 우편집중국,중부내륙고속 창녕IC,0,263
경남 고성군,0,창원 우편집중국,통영대전고속 고성IC,0,264
경남 남해군,0,진주 우편집중국,남해고속 하동IC,0,265
경남 하동군,0,진주 우편집중국,남해고속 하동IC,0,266
경남 산청군,0,진주 우편집중국,통영대전고속 산청IC,0,267
경남 함양군,0,진주 우편집중국,광주대구고속 함양IC,0,268
경남 거창군,0,진주 우편집중국,광주대구고속 거창IC,0,269
경남 합천군,0,진주 우편집중국,광주대구고속 고령IC,0,270
세종특별자치시,0,대전 우편집중국,당진영덕고속 남세종IC,0,271
